Product,State,zip3,length
Mortgage,SC,294,1303
Mortgage,CA,907,1530
Credit card or prepaid card,OK,731,987
Credit card or prepaid card,CA,947,738
Credit card or prepaid card,NC,272,1709
Student loan,FL,331,1447
Credit card or prepaid card,CA,920,873
Credit card or prepaid card,CA,951,637
Mortgage,KS,661,966
Credit card or prepaid card,FL,334,667
Credit card or prepaid card,NC,286,1233
Mortgage,AZ,853,969
Mortgage,CT,0,1056
Credit card or prepaid card,NY,113,1258
Mortgage,CA,919,1374
Credit card or prepaid card,IL,601,500
Mortgage,CO,0,1510
Mortgage,NV,0,1250
Vehicle loan or lease,FL,0,2405
Mortgage,NC,281,459
Student loan,CA,920,872
Mortgage,DE,199,526
Student loan,NJ,88,662
Credit card or prepaid card,CA,925,1386
Mortgage,NM,871,5642
Credit card or prepaid card,VA,223,268
Credit card or prepaid card,GA,0,1297
Student loan,DC,200,308
Mortgage,CA,902,619
Credit card or prepaid card,GA,0,299
Credit card or prepaid card,NV,0,774
Student loan,WI,0,416
Vehicle loan or lease,DC,200,1069
Mortgage,NY,112,288
Student loan,FL,333,288
Student loan,NJ,76,577
Student loan,MD,208,949
Mortgage,CA,913,320
Credit card or prepaid card,FL,329,1073
Mortgage,MD,0,3810
Credit card or prepaid card,OH,444,553
Mortgage,WA,0,676
Student loan,PA,0,766
Student loan,AK,0,1898
Credit card or prepaid card,AZ,852,3130
Student loan,NY,112,681
Mortgage,GA,0,508
Mortgage,ID,836,819
Student loan,MI,493,785
Credit card or prepaid card,ME,0,1562
Mortgage,CA,925,1030
Mortgage,MO,631,1334
Mortgage,LA,705,841
Mortgage,NC,283,2278
Vehicle loan or lease,PA,0,304
Credit card or prepaid card,PA,171,593
Mortgage,CA,918,1318
Credit card or prepaid card,OR,0,150
Credit card or prepaid card,CA,933,492
Student loan,CA,937,165
Credit card or prepaid card,NY,100,908
Credit card or prepaid card,FL,328,4362
Vehicle loan or lease,TN,380,130
Mortgage,PA,190,3730
Mortgage,CA,946,445
Credit card or prepaid card,MI,483,717
Mortgage,NJ,0,15962
Student loan,MD,207,1136
Student loan,VA,0,219
Mortgage,AL,363,525
Mortgage,OR,0,1693
Mortgage,CA,925,5766
Credit card or prepaid card,NM,0,767
Credit card or prepaid card,IL,606,681
Credit card or prepaid card,CA,917,351
Mortgage,GA,0,1502
Credit card or prepaid card,NY,117,832
Student loan,CA,0,1331
Mortgage,IL,601,306
Credit card or prepaid card,TX,761,2346
Mortgage,NY,146,929
Credit card or prepaid card,VA,201,1032
Student loan,NH,0,268
Credit card or prepaid card,DC,200,1930
Credit card or prepaid card,CA,913,1574
Vehicle loan or lease,OR,974,1030
Credit card or prepaid card,ID,836,1256
Student loan,MD,210,1406
Vehicle loan or lease,GA,317,1341
Mortgage,WI,0,5892
Mortgage,CO,805,2396
Mortgage,VA,232,685
Credit card or prepaid card,MA,0,571
Credit card or prepaid card,FL,341,698
Credit card or prepaid card,NM,871,2685
Mortgage,CA,0,572
Mortgage,CA,945,3767
Mortgage,VA,221,1073
Credit card or prepaid card,VA,223,2004
Mortgage,CA,921,595
Vehicle loan or lease,TX,770,673
Student loan,PA,0,445
Mortgage,PA,191,805
Credit card or prepaid card,FL,333,990
Credit card or prepaid card,PA,0,1129
Mortgage,WA,988,988
Credit card or prepaid card,FL,325,719
Credit card or prepaid card,IL,600,1380
Credit card or prepaid card,UT,840,2709
Credit card or prepaid card,OK,740,828
Vehicle loan or lease,OK,747,1620
Mortgage,TX,0,719
Credit card or prepaid card,CA,917,2448
Credit card or prepaid card,RI,29,3112
Credit card or prepaid card,CA,900,1668
Credit card or prepaid card,CA,913,92
Vehicle loan or lease,NY,140,352
Credit card or prepaid card,TX,782,1591
Mortgage,PA,191,1339
Mortgage,OK,0,442
Mortgage,VA,201,5450
Vehicle loan or lease,TX,794,432
Credit card or prepaid card,WA,980,181
Credit card or prepaid card,FL,0,275
Student loan,TX,781,1083
Credit card or prepaid card,WI,0,871
Credit card or prepaid card,FL,327,396
Credit card or prepaid card,VA,0,2185
Student loan,NC,275,438
Vehicle loan or lease,OH,440,1722
Credit card or prepaid card,KY,0,2056
Credit card or prepaid card,TX,781,866
Credit card or prepaid card,NY,112,166
Mortgage,IL,606,773
Credit card or prepaid card,CA,935,663
Credit card or prepaid card,TX,770,733
Student loan,TX,750,1160
Credit card or prepaid card,AR,727,1385
Mortgage,KS,660,481
Credit card or prepaid card,FL,320,2272
Credit card or prepaid card,TX,780,1081
Credit card or prepaid card,TX,770,1323
Vehicle loan or lease,AZ,855,414
Mortgage,TX,770,696
Credit card or prepaid card,WA,980,385
Vehicle loan or lease,AZ,852,2352
Credit card or prepaid card,MD,212,1927
Vehicle loan or lease,CA,907,467
Credit card or prepaid card,MO,635,701
Mortgage,OH,0,1260
Mortgage,FL,346,2799
Credit card or prepaid card,WA,981,1350
Student loan,NJ,885,456
Mortgage,NY,0,3190
Credit card or prepaid card,HI,967,1083
Credit card or prepaid card,FL,333,379
Credit card or prepaid card,NC,271,720
Mortgage,GA,305,1955
Credit card or prepaid card,CA,0,1241
Mortgage,IL,616,691
Mortgage,GA,314,361
Credit card or prepaid card,FL,322,53
Credit card or prepaid card,GA,0,252
Credit card or prepaid card,CA,923,1057
Student loan,NY,0,456
Credit card or prepaid card,FL,333,509
Credit card or prepaid card,CO,801,4722
Student loan,CA,900,620
Mortgage,TX,787,409
Mortgage,CA,946,1112
Credit card or prepaid card,NY,100,633
Credit card or prepaid card,NY,112,851
Student loan,FL,323,306
Credit card or prepaid card,NC,275,699
Credit card or prepaid card,IL,606,752
Credit card or prepaid card,IN,468,159
Credit card or prepaid card,FL,330,416
Mortgage,IL,606,449
Credit card or prepaid card,MN,553,1370
Credit card or prepaid card,GA,0,775
Credit card or prepaid card,TX,760,1291
Credit card or prepaid card,CA,945,500
Credit card or prepaid card,TX,760,1244
Credit card or prepaid card,FL,0,1224
Vehicle loan or lease,MD,207,1371
Mortgage,NJ,0,616
Credit card or prepaid card,CA,936,224
Credit card or prepaid card,CA,0,1239
Mortgage,NY,0,3098
Credit card or prepaid card,FL,330,965
Mortgage,NC,0,189
Vehicle loan or lease,MI,0,830
Vehicle loan or lease,NY,0,8206
Credit card or prepaid card,TX,762,1122
Credit card or prepaid card,CA,941,574
Credit card or prepaid card,FL,334,297
Mortgage,NV,0,1178
Credit card or prepaid card,CA,913,1045
Mortgage,IL,606,579
Mortgage,AR,0,5162
Mortgage,AZ,851,173
Mortgage,AL,0,5684
Student loan,CA,910,1918
Mortgage,CA,958,1203
Mortgage,MS,0,544
Mortgage,TX,0,1376
Credit card or prepaid card,FL,347,438
Credit card or prepaid card,LA,700,594
Credit card or prepaid card,CA,917,2002
Mortgage,OR,971,2528
Student loan,NY,0,1005
Credit card or prepaid card,CO,0,1302
Mortgage,VA,221,1316
Student loan,NC,276,114
Mortgage,FL,322,1419
Student loan,HI,967,1094
Credit card or prepaid card,IL,601,1767
Credit card or prepaid card,GA,302,1130
Credit card or prepaid card,MA,0,924
Student loan,KY,402,1935
Vehicle loan or lease,TX,785,2553
Mortgage,FL,328,2012
Student loan,CA,940,885
Student loan,NY,104,1081
Mortgage,NJ,0,784
Mortgage,CA,0,156
Mortgage,CA,926,1568
Mortgage,IL,600,2057
Mortgage,MD,217,1250
Student loan,TX,770,500
Mortgage,VT,54,158
Student loan,TX,787,355
Mortgage,TX,752,1231
Vehicle loan or lease,GA,300,423
Student loan,NJ,88,643
Mortgage,MO,641,622
Mortgage,CT,68,898
Vehicle loan or lease,MA,21,1773
Student loan,GA,302,2887
Vehicle loan or lease,IL,600,1775
Mortgage,FL,328,460
Mortgage,TN,381,1416
Credit card or prepaid card,CA,935,4145
Mortgage,TX,774,1382
Student loan,KY,403,283
Credit card or prepaid card,AZ,853,584
Mortgage,GA,303,2952
Mortgage,MO,640,582
Student loan,NC,281,632
Mortgage,MS,0,1184
Credit card or prepaid card,CA,941,4552
Mortgage,LA,700,2218
Mortgage,AR,720,1666
Mortgage,CA,917,1051
Student loan,DC,0,1359
Credit card or prepaid card,MN,553,282
Vehicle loan or lease,GA,303,613
Credit card or prepaid card,FL,330,1363
Mortgage,AZ,0,1012
Student loan,SC,296,1066
Mortgage,MD,210,615
Vehicle loan or lease,NY,117,201
Mortgage,OH,454,1184
Credit card or prepaid card,CA,923,2607
Credit card or prepaid card,TX,750,590
Credit card or prepaid card,IN,460,2434
Student loan,PA,152,2300
Vehicle loan or lease,IN,461,986
Vehicle loan or lease,NY,0,654
Credit card or prepaid card,TX,799,421
Mortgage,KY,402,3260
Student loan,MA,0,512
Mortgage,MN,0,157
Mortgage,GA,313,316
Mortgage,UNITED STATES MINOR OUTLYING ISLANDS,551,567
Mortgage,TX,0,1687
Mortgage,OH,450,898
Mortgage,NY,100,2018
Credit card or prepaid card,FL,0,2346
Credit card or prepaid card,VA,229,557
Mortgage,NC,284,175
Credit card or prepaid card,PA,152,668
Vehicle loan or lease,NC,273,247
Vehicle loan or lease,NC,0,676
Credit card or prepaid card,VA,222,1787
Mortgage,FL,335,543
Credit card or prepaid card,FL,347,1133
Student loan,CA,953,494
Credit card or prepaid card,CA,917,1620
Mortgage,FL,330,2131
Credit card or prepaid card,KY,405,489
Mortgage,AZ,853,1354
Mortgage,MS,0,511
Mortgage,KY,0,618
Credit card or prepaid card,CA,910,1245
Vehicle loan or lease,TN,0,2592
Credit card or prepaid card,OR,972,1181
Student loan,OR,971,794
Credit card or prepaid card,NJ,74,2404
Student loan,MA,0,518
Student loan,MN,0,624
Mortgage,NY,0,309
Student loan,GA,300,837
Mortgage,CA,930,1835
Credit card or prepaid card,CT,68,2348
Mortgage,VA,221,615
Credit card or prepaid card,MA,23,1724
Mortgage,FL,331,478
Vehicle loan or lease,IN,472,461
Credit card or prepaid card,OH,442,33
Credit card or prepaid card,IL,603,1385
Student loan,LA,0,271
Mortgage,VA,0,791
Credit card or prepaid card,OH,430,1001
Mortgage,FL,322,1514
Credit card or prepaid card,LA,705,212
Mortgage,CA,923,563
Mortgage,MO,633,1027
Student loan,AZ,850,4238
Mortgage,CA,0,1663
Credit card or prepaid card,CA,945,180
Student loan,CO,805,1366
Credit card or prepaid card,CA,913,1840
Credit card or prepaid card,TX,750,962
Credit card or prepaid card,TX,0,984
Credit card or prepaid card,NY,113,891
Credit card or prepaid card,FL,327,445
Credit card or prepaid card,MS,397,444
Mortgage,CA,951,1261
Mortgage,TX,775,2204
Student loan,ME,0,2270
Credit card or prepaid card,NJ,88,866
Vehicle loan or lease,NY,0,1213
Mortgage,WA,983,409
Mortgage,VA,201,920
Credit card or prepaid card,FL,330,126
Credit card or prepaid card,OH,430,664
Mortgage,TX,773,290
Student loan,NY,0,374
Vehicle loan or lease,AZ,850,629
Mortgage,WA,0,867
Mortgage,WA,993,714
Credit card or prepaid card,CA,944,1338
Credit card or prepaid card,WI,546,1019
Mortgage,AZ,857,220
Credit card or prepaid card,TX,0,181
Mortgage,TX,750,1703
Student loan,CO,802,804
Credit card or prepaid card,CA,955,1256
Mortgage,TX,751,1594
Credit card or prepaid card,NY,100,275
Credit card or prepaid card,WA,980,2285
Credit card or prepaid card,NY,112,678
Student loan,NC,282,223
Student loan,NH,0,923
Mortgage,AZ,853,943
Mortgage,FL,323,1355
Credit card or prepaid card,IL,0,872
Mortgage,HI,967,594
Credit card or prepaid card,MA,234,1148
Mortgage,WA,980,999
Vehicle loan or lease,RI,0,1488
Mortgage,GA,301,2311
Mortgage,OR,970,1610
Credit card or prepaid card,DC,200,921
Mortgage,IL,604,669
Credit card or prepaid card,NY,111,1750
Student loan,CA,926,704
Student loan,VA,220,2543
Vehicle loan or lease,CA,956,1216
Credit card or prepaid card,UT,840,266
Mortgage,WA,981,163
Mortgage,SC,298,1019
Credit card or prepaid card,WA,980,1132
Mortgage,FL,347,563
Mortgage,AR,0,2027
Student loan,MA,21,1329
Credit card or prepaid card,TX,750,1720
Credit card or prepaid card,WI,537,740
Credit card or prepaid card,FL,328,137
Credit card or prepaid card,MA,21,944
Mortgage,GA,314,850
Mortgage,MD,207,5491
Student loan,OK,731,258
Student loan,WA,980,1711
Mortgage,TX,770,1834
Credit card or prepaid card,IL,606,995
Credit card or prepaid card,CA,951,1554
Vehicle loan or lease,VA,221,1415
Student loan,FL,338,1035
Mortgage,TX,750,1212
Mortgage,PA,191,1609
Credit card or prepaid card,IL,0,154
Credit card or prepaid card,TN,380,73
Mortgage,CA,0,196
Vehicle loan or lease,CA,928,2396
Mortgage,CA,923,10885
Vehicle loan or lease,VA,232,568
Mortgage,FL,330,1135
Credit card or prepaid card,MD,207,461
Credit card or prepaid card,NY,100,415
Mortgage,TN,381,506
Credit card or prepaid card,SD,0,622
Credit card or prepaid card,PA,0,1146
Student loan,TX,787,243
Mortgage,DC,200,1564
Student loan,NC,0,398
Student loan,CA,941,514
Credit card or prepaid card,CO,0,380
Student loan,PA,187,148
Mortgage,AZ,856,4554
Credit card or prepaid card,FL,331,486
Credit card or prepaid card,OH,441,974
Credit card or prepaid card,GA,301,547
Student loan,VA,234,1003
Credit card or prepaid card,NY,112,861
Mortgage,MI,0,698
Credit card or prepaid card,DC,200,1791
Student loan,CA,0,1949
Student loan,GA,0,857
Student loan,NY,122,1402
Credit card or prepaid card,CA,959,1277
Mortgage,SC,296,627
Credit card or prepaid card,CA,936,718
Mortgage,CA,920,901
Credit card or prepaid card,FL,321,2703
Student loan,WA,984,1934
Credit card or prepaid card,NJ,742,399
Credit card or prepaid card,OH,431,573
Credit card or prepaid card,CO,802,571
Vehicle loan or lease,WI,531,1483
Mortgage,CA,920,591
Student loan,PA,191,1499
Credit card or prepaid card,GA,0,162
Mortgage,AL,351,1416
Credit card or prepaid card,LA,706,362
Credit card or prepaid card,IL,606,3540
Vehicle loan or lease,FL,334,296
Mortgage,TN,381,522
Vehicle loan or lease,MI,481,821
Credit card or prepaid card,MA,14,399
Mortgage,CA,956,1502
Credit card or prepaid card,TN,378,442
Credit card or prepaid card,CA,920,1761
Credit card or prepaid card,FL,0,2043
Student loan,CA,953,490
Mortgage,NY,0,1534
Mortgage,NY,137,2115
Student loan,WV,0,642
Credit card or prepaid card,IL,605,1625
Mortgage,NJ,88,815
Credit card or prepaid card,NY,0,1093
Mortgage,CO,0,679
Mortgage,GA,0,2142
Credit card or prepaid card,TN,376,338
Credit card or prepaid card,VA,222,1449
Credit card or prepaid card,CA,913,1742
Credit card or prepaid card,CA,900,1026
Vehicle loan or lease,PA,0,2195
Student loan,MO,0,652
Vehicle loan or lease,NC,0,384
Vehicle loan or lease,AL,361,255
Credit card or prepaid card,AZ,0,1465
Mortgage,IL,0,1145
Mortgage,MO,0,223
Mortgage,MI,481,423
Credit card or prepaid card,UT,841,705
Credit card or prepaid card,NY,0,2634
Student loan,WI,0,681
Mortgage,KY,401,1796
Credit card or prepaid card,PA,0,3085
Credit card or prepaid card,VA,223,1415
Credit card or prepaid card,CA,916,1429
Student loan,GA,300,1300
Credit card or prepaid card,NM,871,2031
Student loan,NY,100,1179
Mortgage,CA,957,4092
Credit card or prepaid card,UT,0,2353
Credit card or prepaid card,OH,450,4320
Mortgage,KS,0,1617
Mortgage,IL,601,770
Vehicle loan or lease,TX,0,1597
Credit card or prepaid card,NY,0,433
Credit card or prepaid card,NJ,0,538
Credit card or prepaid card,None,0,1275
Mortgage,OR,0,1191
Credit card or prepaid card,NY,0,1447
Credit card or prepaid card,TX,774,912
Credit card or prepaid card,ND,587,903
Credit card or prepaid card,FL,349,1860
Credit card or prepaid card,FL,334,600
Student loan,IL,601,204
Mortgage,TN,380,758
Credit card or prepaid card,CA,945,2287
Mortgage,FL,349,3030
Credit card or prepaid card,WA,981,2379
Credit card or prepaid card,NY,113,430
Credit card or prepaid card,PA,0,256
Credit card or prepaid card,PA,180,1547
Credit card or prepaid card,IL,606,2337
Credit card or prepaid card,VA,221,1020
Mortgage,MI,494,2827
Mortgage,IA,0,1802
Student loan,NY,0,2062
Mortgage,NY,0,3042
Credit card or prepaid card,NY,112,1813
Credit card or prepaid card,IL,606,1288
Credit card or prepaid card,CO,0,208
Mortgage,OK,741,1433
Mortgage,TX,750,4181
Credit card or prepaid card,NJ,70,661
Mortgage,NC,0,1588
Credit card or prepaid card,VA,234,400
Credit card or prepaid card,CA,0,3172
Credit card or prepaid card,PA,0,577
Credit card or prepaid card,GA,300,1412
Student loan,OH,444,653
Credit card or prepaid card,IL,606,523
Mortgage,NC,282,986
Credit card or prepaid card,CA,917,637
Student loan,MD,206,2284
Credit card or prepaid card,CA,930,1453
Mortgage,CO,800,834
Mortgage,CO,802,3924
Credit card or prepaid card,FL,337,3646
Mortgage,TN,380,3366
Mortgage,NY,0,1161
Vehicle loan or lease,CA,941,867
Credit card or prepaid card,IL,606,466
Mortgage,CA,920,906
Credit card or prepaid card,MT,0,205
Credit card or prepaid card,FL,0,611
Credit card or prepaid card,AZ,852,1627
Student loan,FL,339,769
Vehicle loan or lease,MT,0,1616
Vehicle loan or lease,NY,0,4996
Mortgage,WI,530,3366
Credit card or prepaid card,CA,913,315
Credit card or prepaid card,WA,986,557
Credit card or prepaid card,NY,0,669
Credit card or prepaid card,VA,201,629
Credit card or prepaid card,AZ,850,419
Mortgage,CA,917,974
Student loan,CA,913,793
Mortgage,LA,700,1843
Student loan,TX,750,1645
Mortgage,TX,760,1873
Credit card or prepaid card,TN,381,660
Credit card or prepaid card,NJ,73,1861
Mortgage,NJ,70,862
Mortgage,WA,0,1399
Vehicle loan or lease,VA,0,1868
Vehicle loan or lease,VA,0,677
Credit card or prepaid card,CA,921,885
Mortgage,GA,310,792
Mortgage,CA,920,4687
Credit card or prepaid card,DC,200,1667
Credit card or prepaid card,OH,430,1574
Mortgage,FL,0,2333
Credit card or prepaid card,WI,537,1290
Credit card or prepaid card,NC,275,4555
Credit card or prepaid card,FL,0,80
Mortgage,CA,945,564
Credit card or prepaid card,TX,751,10524
Mortgage,CA,921,1223
Student loan,PR,979,901
Credit card or prepaid card,NJ,76,350
Mortgage,OR,0,1576
Mortgage,MI,0,582
Mortgage,GA,315,3115
Credit card or prepaid card,NJ,87,2995
Mortgage,MD,212,1476
Student loan,IL,601,227
Vehicle loan or lease,TX,760,101
Credit card or prepaid card,FL,0,2023
Credit card or prepaid card,FL,330,290
Mortgage,CA,945,34
Credit card or prepaid card,OK,731,999
Credit card or prepaid card,MI,483,154
Mortgage,VA,221,4457
Mortgage,IN,460,6962
Credit card or prepaid card,NC,282,1083
Credit card or prepaid card,CA,951,1614
Student loan,MA,0,924
Credit card or prepaid card,MN,550,3240
Mortgage,CA,945,2834
Mortgage,CA,917,1812
Student loan,TX,750,680
Credit card or prepaid card,FL,320,996
Student loan,WI,535,6054
Vehicle loan or lease,WA,982,895
Credit card or prepaid card,CO,805,665
Mortgage,FL,339,709
Mortgage,NY,0,1031
Credit card or prepaid card,MN,554,1316
Credit card or prepaid card,NJ,0,2339
Credit card or prepaid card,PA,0,1153
Mortgage,CA,900,958
Vehicle loan or lease,FL,331,779
Student loan,AZ,0,1075
Credit card or prepaid card,NY,112,112
Mortgage,CA,957,1645
Credit card or prepaid card,PA,0,3176
Mortgage,MA,0,2118
Credit card or prepaid card,NH,0,993
Mortgage,CA,919,2527
Student loan,VT,530,3939
Credit card or prepaid card,PA,151,2207
Student loan,CO,0,3845
Vehicle loan or lease,MO,631,1959
Vehicle loan or lease,IL,600,1281
Student loan,AZ,853,842
Credit card or prepaid card,IL,606,942
Credit card or prepaid card,IL,606,683
Mortgage,CA,900,1662
Credit card or prepaid card,NJ,85,1454
Credit card or prepaid card,TN,381,763
Credit card or prepaid card,NY,0,1019
Mortgage,WA,985,4627
Mortgage,FL,342,1244
Vehicle loan or lease,FL,333,719
Credit card or prepaid card,CA,910,516
Student loan,PA,0,398
Credit card or prepaid card,MS,0,1831
Credit card or prepaid card,VA,230,1766
Credit card or prepaid card,TN,0,159
Credit card or prepaid card,MD,209,1033
Mortgage,CA,945,2203
Student loan,WA,983,510
Mortgage,GA,300,922
Student loan,PA,151,984
Mortgage,TX,770,542
Mortgage,CA,920,3249
Credit card or prepaid card,CA,928,1449
Mortgage,DE,197,5081
Mortgage,VA,201,363
Credit card or prepaid card,CA,0,1259
Credit card or prepaid card,None,0,677
Mortgage,OH,0,5657
Credit card or prepaid card,AZ,850,887
Mortgage,OK,0,1550
Mortgage,FL,0,483
Credit card or prepaid card,CA,948,566
Credit card or prepaid card,AZ,850,5305
Credit card or prepaid card,FL,331,1703
Vehicle loan or lease,OH,432,437
Credit card or prepaid card,FL,334,965
Student loan,OR,977,1582
Credit card or prepaid card,NY,112,1106
Vehicle loan or lease,AL,350,731
Student loan,PA,0,496
Credit card or prepaid card,CA,941,592
Credit card or prepaid card,GA,0,1320
Mortgage,NC,276,1131
Student loan,AZ,850,1407
Mortgage,TX,782,1272
Credit card or prepaid card,CA,941,1347
Credit card or prepaid card,NY,112,1073
Mortgage,MI,0,216
Mortgage,SC,294,790
Credit card or prepaid card,MS,395,869
Credit card or prepaid card,OH,441,732
Mortgage,WI,0,1102
Credit card or prepaid card,NJ,76,767
Vehicle loan or lease,OK,731,2650
Vehicle loan or lease,ID,0,817
Student loan,NY,0,927
Student loan,NY,112,1662
Credit card or prepaid card,TX,0,276
Credit card or prepaid card,PA,0,992
Student loan,NJ,81,993
Student loan,PA,0,329
Mortgage,NC,281,931
Vehicle loan or lease,FL,331,2392
Mortgage,MD,0,1670
Credit card or prepaid card,CA,0,950
Credit card or prepaid card,CA,915,5923
Mortgage,NJ,73,830
Credit card or prepaid card,CT,651,467
Credit card or prepaid card,CT,60,1645
Credit card or prepaid card,IL,0,636
Credit card or prepaid card,CA,941,175
Credit card or prepaid card,SC,0,2493
Mortgage,FL,328,1032
Credit card or prepaid card,CA,947,797
Credit card or prepaid card,NJ,77,3149
Vehicle loan or lease,CA,900,1703
Student loan,VA,229,444
Student loan,PA,0,2374
Mortgage,CA,954,3965
Credit card or prepaid card,OH,454,643
Credit card or prepaid card,CT,68,906
Credit card or prepaid card,NV,890,3984
Credit card or prepaid card,CT,60,933
Credit card or prepaid card,VA,0,951
Student loan,CA,941,1911
Student loan,MS,0,596
Student loan,FL,338,2066
Mortgage,NJ,76,430
Mortgage,MI,481,10749
Mortgage,CA,900,3673
Mortgage,CA,902,1412
Mortgage,OH,430,1405
Mortgage,NC,276,1523
Credit card or prepaid card,FL,333,701
Mortgage,IL,601,600
Credit card or prepaid card,CA,945,690
Credit card or prepaid card,AZ,0,441
Student loan,OK,731,1967
Mortgage,TX,775,1174
Vehicle loan or lease,NY,107,781
Mortgage,OH,430,10688
Credit card or prepaid card,DC,200,1962
Mortgage,PA,164,5551
Student loan,NV,0,771
Student loan,VA,0,1567
Student loan,WA,983,1305
Mortgage,OH,452,623
Student loan,TX,782,567
Credit card or prepaid card,NJ,80,403
Student loan,TN,370,1598
Mortgage,NC,272,598
Student loan,CA,956,764
Credit card or prepaid card,CA,913,168
Mortgage,KY,410,1670
Mortgage,IN,462,1656
Vehicle loan or lease,CO,804,2473
Mortgage,FL,331,597
Credit card or prepaid card,MA,17,1413
Mortgage,NJ,0,1640
Mortgage,TN,372,1315
Vehicle loan or lease,IL,604,2029
Vehicle loan or lease,NC,275,2535
Credit card or prepaid card,TX,750,671
Mortgage,MO,0,551
Mortgage,NV,0,618
Mortgage,SC,0,1838
Mortgage,NJ,0,2955
Student loan,None,0,2840
Mortgage,OR,970,2770
Vehicle loan or lease,CA,945,290
Credit card or prepaid card,NC,275,749
Student loan,CA,902,721
Mortgage,FL,334,1348
Credit card or prepaid card,AL,0,3103
Student loan,IL,600,1852
Vehicle loan or lease,TN,377,2200
Credit card or prepaid card,CA,0,1430
Mortgage,NY,0,1658
Credit card or prepaid card,CT,68,482
Mortgage,HI,0,2569
Credit card or prepaid card,CA,930,838
Mortgage,CA,903,2816
Mortgage,NY,113,1935
Credit card or prepaid card,FL,325,767
Credit card or prepaid card,NJ,88,617
Student loan,CA,945,939
Mortgage,FL,0,1995
Credit card or prepaid card,NY,110,5694
Mortgage,CA,944,392
Student loan,CA,914,1210
Vehicle loan or lease,TX,750,4336
Mortgage,CA,930,825
Credit card or prepaid card,CA,945,153
Mortgage,AL,0,431
Vehicle loan or lease,VA,238,326
Vehicle loan or lease,TX,770,1612
Mortgage,CA,926,3175
Mortgage,None,339,1378
Student loan,MD,212,4591
Mortgage,VA,221,798
Mortgage,SC,297,1095
Mortgage,OK,740,1100
Student loan,OH,432,717
Credit card or prepaid card,HI,0,1147
Vehicle loan or lease,CA,0,689
Credit card or prepaid card,NY,0,1515
Credit card or prepaid card,TX,750,3380
Credit card or prepaid card,MI,483,279
Credit card or prepaid card,ME,0,1257
Credit card or prepaid card,MD,0,3340
Credit card or prepaid card,VA,225,858
Credit card or prepaid card,NC,282,808
Credit card or prepaid card,TX,782,405
Mortgage,VA,220,237
Credit card or prepaid card,FL,347,1298
Mortgage,TX,750,1387
Mortgage,FL,0,6238
Mortgage,CO,800,2529
Credit card or prepaid card,NJ,0,997
Mortgage,DE,199,854
Student loan,MN,551,720
Credit card or prepaid card,WA,0,1477
Mortgage,VA,245,2898
Vehicle loan or lease,CO,801,590
Credit card or prepaid card,FL,330,2645
Mortgage,NV,0,3899
Mortgage,PA,190,1512
Student loan,KS,0,921
Student loan,FL,330,133
Mortgage,TN,0,1217
Mortgage,CO,802,316
Student loan,TX,770,2135
Mortgage,DE,199,2718
Student loan,NY,112,1105
Credit card or prepaid card,CA,921,1207
Vehicle loan or lease,FL,330,1690
Credit card or prepaid card,WI,0,772
Mortgage,FL,333,599
Student loan,CA,908,434
Credit card or prepaid card,NJ,73,318
Credit card or prepaid card,NY,114,812
Vehicle loan or lease,TX,775,258
