ziplength,complength,custlength,Product
3,39,689,1
3,21,475,0
3,13,592,0
3,13,1534,1
3,30,1830,1
5,19,676,0
3,20,715,0
3,32,491,1
3,39,6174,1
3,22,212,1
3,33,1055,0
3,24,6523,1
3,22,628,0
3,13,2038,1
5,38,855,1
3,37,1897,0
3,21,322,1
3,37,828,0
3,26,1467,0
3,20,978,3
3,14,1149,0
3,24,990,0
3,26,1533,3
3,20,1433,0
3,13,705,0
3,33,3649,1
3,6,1154,2
3,14,1041,0
3,30,2425,1
3,37,405,1
3,37,514,1
3,9,611,2
3,36,694,3
3,27,662,1
3,26,1589,0
3,17,6730,1
3,19,4166,1
3,24,178,1
3,13,3798,1
5,19,888,0
3,25,1884,1
3,14,360,0
3,39,758,1
3,14,1319,0
3,19,284,0
3,24,1467,1
3,19,1631,0
3,24,1259,0
3,37,859,1
3,9,695,2
3,19,837,1
5,33,1061,0
3,14,2653,0
3,19,697,1
3,20,790,0
3,14,1147,0
3,37,1132,1
3,33,324,0
3,20,947,0
3,18,941,1
3,39,1639,1
3,28,63,0
3,20,6875,0
3,36,2410,3
3,27,1344,3
3,41,1602,1
3,14,647,0
3,19,2088,1
3,20,662,0
3,24,2046,0
3,36,3217,3
3,21,686,0
5,12,830,0
3,28,1358,0
3,22,722,1
3,14,500,0
5,28,5207,1
5,12,225,2
3,19,2105,1
3,20,2459,1
3,14,334,0
3,22,307,0
3,33,2677,0
3,13,558,1
3,36,1550,3
3,27,361,0
3,18,1054,1
3,32,2448,1
3,27,3321,1
3,21,2108,0
5,33,598,0
3,22,1299,0
3,24,558,0
5,32,295,1
3,20,412,0
3,35,206,3
3,12,2073,2
3,17,1532,1
3,23,6317,0
3,9,1170,2
3,21,572,0
3,20,1419,1
3,23,216,2
5,19,1914,1
3,20,2251,1
3,23,1052,2
3,28,3437,1
5,28,105,1
3,14,1784,0
3,15,1318,2
5,8,911,0
3,36,774,1
3,18,465,1
3,10,418,1
3,12,1072,1
3,33,977,0
3,20,743,1
3,9,1228,2
3,13,1044,0
3,19,897,3
3,22,2697,0
3,33,376,3
3,36,212,3
3,57,1696,3
5,20,862,0
3,14,1526,0
3,19,855,0
3,32,1958,1
3,36,747,3
5,19,2406,0
3,19,978,0
3,33,461,0
3,33,538,3
3,13,2642,0
3,35,1393,3
3,22,772,0
3,18,558,1
3,20,1472,0
3,14,1925,0
3,20,1540,0
3,15,1630,2
3,13,956,0
3,9,6061,2
3,20,534,1
3,20,1295,1
3,19,964,1
3,22,2374,0
3,37,1474,1
3,30,998,3
3,32,619,1
3,37,633,1
3,28,1326,1
3,33,303,1
3,31,612,0
3,33,817,3
3,19,534,0
3,14,1919,0
3,22,219,0
3,13,433,0
3,22,1412,0
3,39,2136,1
3,14,1477,0
5,38,7967,3
3,27,1455,1
3,19,378,0
3,33,2287,1
3,13,839,1
3,28,311,0
3,38,4858,3
3,13,1009,0
3,16,884,0
3,14,1337,1
3,27,1082,1
3,19,1791,3
3,33,711,0
5,29,1348,3
3,22,559,0
3,27,840,1
3,26,294,2
3,33,1216,0
3,19,734,1
3,19,1054,2
3,19,307,3
3,37,1198,0
3,22,198,3
3,26,677,3
3,24,1515,0
3,24,1069,1
3,33,3730,0
3,33,2994,0
3,24,2457,1
3,21,759,1
3,37,2384,1
3,21,3116,1
3,36,308,3
3,37,335,1
3,19,638,0
3,39,1139,1
3,27,628,1
3,24,1821,1
3,28,2432,0
3,19,3047,0
3,23,3344,2
3,21,196,0
3,21,1006,1
3,20,1543,1
3,20,3588,0
3,33,653,0
3,28,1614,1
3,19,946,0
3,13,771,1
3,14,2011,0
3,20,476,0
3,13,1835,1
3,13,764,0
3,27,2879,1
3,19,336,2
3,30,281,2
3,11,718,2
3,18,3081,1
3,38,1606,3
3,37,431,0
3,12,1094,2
3,23,2063,3
3,33,406,0
3,33,371,0
3,33,745,3
3,19,294,1
3,20,2828,0
5,35,586,3
3,33,2908,1
3,13,2228,1
3,7,1015,0
3,28,881,1
3,33,525,0
3,20,663,1
3,19,974,0
3,21,881,0
3,20,169,0
3,28,1098,1
3,26,743,3
3,31,357,0
3,25,1147,1
3,37,606,0
3,19,2874,1
3,22,1266,3
3,22,343,0
3,12,246,1
3,33,1512,1
3,33,358,1
3,14,786,0
3,14,288,0
3,22,1201,3
5,18,1304,1
3,21,3591,1
3,24,298,0
3,29,553,1
3,24,1243,0
3,27,1947,0
3,9,1423,2
3,12,663,2
3,22,4450,3
3,19,420,3
3,22,1774,0
3,14,1008,0
3,34,496,3
3,27,4405,3
3,33,5792,1
3,27,261,1
3,19,1910,1
3,19,535,0
3,24,1393,0
3,9,716,2
3,21,639,1
3,13,744,0
5,28,580,1
3,14,877,0
3,22,753,0
3,26,3709,1
3,19,1480,1
3,19,730,0
3,20,978,0
3,12,2507,2
3,60,1815,2
3,9,3016,2
3,21,1453,1
3,21,1032,1
3,37,1275,3
3,22,1094,1
3,20,2812,0
3,20,1691,1
3,19,1012,1
3,26,4478,3
3,19,1326,1
3,25,350,1
3,19,270,1
3,29,1609,1
3,14,864,0
3,34,1277,3
3,14,638,0
3,13,951,0
3,12,242,2
3,27,1367,0
3,20,2472,0
3,33,1747,0
5,32,280,1
5,14,4005,0
3,30,537,1
3,13,1280,1
3,9,2204,2
3,14,403,0
3,8,4548,0
3,21,1954,1
3,30,952,3
3,24,1470,1
3,23,363,3
3,23,1109,3
3,19,4393,3
5,24,1795,1
5,38,530,3
3,21,2520,0
3,37,61,0
5,28,746,0
5,12,2672,3
5,24,2300,1
5,22,2435,3
5,28,795,1
3,23,1161,2
3,33,1874,0
3,32,688,1
3,9,875,2
3,21,3233,0
3,13,3508,1
3,13,809,1
3,33,1220,1
3,37,5584,0
3,27,2424,1
3,13,907,1
5,34,369,1
5,30,743,1
3,26,864,0
3,37,610,0
3,19,550,0
3,14,1085,0
3,33,636,0
3,33,570,0
3,20,2968,0
3,33,2465,0
3,12,452,1
5,13,1164,1
3,24,749,1
3,19,199,1
3,37,872,0
3,13,228,0
3,20,829,0
3,37,151,0
3,33,321,0
3,27,732,0
3,38,1298,1
3,31,3212,1
3,18,382,1
3,14,480,0
3,29,2251,1
3,38,809,3
3,33,790,1
3,25,7469,1
3,21,1922,1
5,24,2220,1
3,25,1236,1
3,24,6203,0
5,29,1760,1
5,12,1011,3
5,14,235,0
5,24,549,1
5,24,1366,1
5,27,374,1
3,21,2309,1
3,18,1984,3
3,24,4859,0
5,23,1245,2
3,18,609,1
3,19,974,0
3,13,790,0
3,38,1256,0
3,28,1741,1
3,37,1653,0
3,23,565,2
3,31,1651,0
3,19,2736,3
3,12,765,2
3,8,2346,0
3,32,1732,0
3,33,2188,1
3,20,1004,0
5,19,98,0
3,36,269,3
5,33,268,1
3,24,1040,1
3,12,1063,2
3,23,394,2
3,23,170,2
3,23,275,0
5,21,402,3
3,19,1841,0
3,28,2036,1
3,32,2761,1
3,23,3553,2
3,23,1234,2
3,23,2235,2
3,20,2138,1
3,14,1452,0
3,41,2440,1
3,13,1690,1
3,37,2711,3
3,23,580,2
3,14,1504,1
3,26,495,1
5,9,611,2
3,19,1326,1
3,21,1553,1
3,33,452,0
3,9,2248,2
3,35,1677,0
3,37,4362,1
3,27,764,0
3,38,236,2
3,25,1286,0
3,22,1745,0
3,7,1016,0
3,20,441,0
3,37,1812,3
3,30,1247,1
3,27,4419,1
3,37,1477,0
5,36,724,1
3,14,3797,0
3,20,1828,1
3,20,795,0
3,26,1498,0
3,30,3989,2
3,27,1316,3
3,19,1343,1
3,24,2770,1
3,21,885,1
3,28,1230,1
5,32,1242,1
3,14,5253,0
3,36,1125,3
3,21,2052,1
3,28,5012,3
3,24,1924,1
3,20,3197,0
3,13,1826,1
3,30,283,0
3,28,829,1
3,24,1791,0
3,39,374,1
3,13,2244,1
3,20,2402,0
3,33,287,0
5,14,1021,0
3,27,678,0
3,27,1508,1
3,27,790,0
3,21,474,0
3,14,4486,0
3,36,1730,3
5,13,519,1
3,30,54,3
3,33,672,0
3,33,350,0
3,12,2550,1
5,31,985,1
3,33,2065,0
3,24,362,1
3,22,745,0
3,13,489,1
3,37,1095,0
3,33,432,0
3,33,470,0
3,21,1036,0
3,24,833,0
3,27,1365,1
3,23,1366,1
3,19,577,0
5,13,408,2
3,32,118,1
3,24,254,1
3,29,895,3
3,14,968,0
3,29,2978,1
3,11,69,0
3,26,732,0
3,37,760,0
3,21,1548,0
3,13,146,0
3,19,267,0
3,34,3376,0
5,37,776,1
5,12,183,1
3,30,1782,2
3,22,1729,0
3,14,1565,0
3,39,277,1
3,15,245,0
3,27,1013,3
3,21,468,1
5,12,871,1
3,36,7818,1
3,13,2096,1
3,33,781,0
5,23,807,3
3,19,949,1
3,37,337,1
3,19,1180,0
3,19,298,0
5,13,2478,1
3,21,2357,1
3,9,562,1
3,20,1340,1
3,22,1370,1
3,24,308,1
3,26,908,1
3,19,405,1
3,37,155,0
3,20,1771,0
3,33,737,0
3,22,935,0
3,9,1710,2
3,27,811,1
3,14,803,0
5,19,430,1
3,8,883,0
3,18,1378,1
3,14,474,0
3,12,1091,2
3,22,560,0
3,20,4123,3
3,13,2031,0
3,22,1592,0
3,26,1138,3
3,28,788,1
3,38,2520,3
3,19,131,1
3,25,482,0
3,14,935,0
3,19,3009,1
3,18,406,1
3,19,1707,3
3,32,1838,1
3,20,525,0
3,39,1094,1
3,13,1828,0
3,29,1717,1
3,37,1691,0
3,32,882,1
3,25,4867,1
3,19,4987,0
3,33,685,0
3,35,1661,0
3,12,232,0
3,14,1730,0
3,20,1071,3
3,24,1512,1
5,21,513,0
3,33,473,0
3,31,759,1
3,35,1418,0
3,19,333,0
3,20,904,0
5,24,154,1
3,37,669,0
3,28,909,1
5,22,663,1
3,20,1085,0
3,19,2035,0
3,24,1142,1
3,32,606,1
3,27,2220,0
5,24,1793,1
3,23,309,0
3,9,1804,3
3,24,700,1
3,35,264,0
3,24,447,1
3,14,3454,0
3,35,301,0
3,13,132,0
3,33,1780,0
3,32,125,0
3,24,624,0
3,33,2373,0
3,27,4801,0
3,21,895,0
3,29,9479,1
3,19,363,0
5,13,1675,1
3,20,563,2
3,23,4358,2
3,40,917,1
3,36,1578,3
5,17,1627,1
5,11,667,0
5,29,1728,1
3,27,928,1
3,18,4369,1
5,25,408,3
3,27,351,0
3,37,258,1
3,39,681,1
3,14,481,0
3,24,612,0
3,24,692,0
3,14,1671,1
3,24,430,1
3,14,1289,0
5,19,274,0
5,12,367,0
3,18,424,1
5,14,1470,0
5,32,764,1
3,24,1110,0
3,28,425,3
3,37,388,0
3,34,907,0
5,27,999,1
3,27,944,1
3,27,1627,0
3,24,987,0
5,21,745,0
3,27,79,0
3,14,1046,0
3,19,2646,1
5,21,1638,1
3,20,1377,0
3,14,884,0
3,14,1380,0
3,27,473,0
3,20,234,0
3,21,908,1
3,37,2405,0
3,26,3943,1
3,24,1857,1
3,13,940,1
3,37,3307,1
3,12,1302,0
3,33,780,1
3,13,1698,1
3,21,405,1
3,14,746,0
3,30,638,2
3,19,2174,3
3,33,2772,1
3,12,631,0
3,19,5258,3
3,35,182,0
3,39,568,1
3,20,575,0
5,22,1708,0
3,37,1306,1
3,22,1261,1
3,14,965,0
3,37,1377,0
3,24,1233,1
5,12,1372,0
3,20,1214,0
3,14,4462,0
3,14,684,0
5,14,1139,0
3,24,339,1
3,20,605,3
3,32,138,1
5,11,2815,0
3,13,1748,0
3,18,201,0
3,22,1918,3
5,13,401,0
3,19,1008,1
3,13,821,1
3,19,726,0
3,13,778,0
3,33,206,3
3,31,463,3
3,14,1467,0
3,37,542,1
3,33,1128,0
3,33,101,3
3,20,2969,0
3,12,1661,1
3,21,1559,0
3,9,864,2
3,35,2269,1
3,22,356,0
3,20,2428,0
3,19,755,1
3,15,184,0
3,33,3729,0
3,37,2193,3
5,30,429,1
3,33,546,0
3,20,3274,1
3,34,688,3
3,28,1197,1
3,19,1395,3
5,25,745,0
3,37,2326,0
3,24,574,1
5,21,1625,1
3,14,1217,0
5,32,5434,1
3,33,1429,0
3,23,732,2
3,20,1005,0
3,37,1913,1
3,26,713,0
3,35,327,0
3,27,1138,1
3,20,2664,0
5,21,2137,1
3,33,493,3
3,32,880,1
3,20,570,0
3,19,834,0
3,19,924,0
3,21,716,3
3,26,322,1
3,13,226,1
3,19,642,3
3,33,412,0
3,19,497,0
5,12,697,0
3,27,1803,1
3,14,1879,0
3,24,446,0
3,16,798,3
3,15,990,2
3,27,664,0
3,33,247,3
3,33,994,0
3,19,772,1
3,31,2191,3
3,24,320,1
3,19,807,1
3,24,920,0
5,24,2737,1
3,25,1876,1
3,18,1373,1
3,25,2740,1
3,20,1357,0
3,27,991,1
3,31,1444,1
3,13,3634,1
3,12,371,0
5,31,1429,0
5,37,1772,1
5,19,1214,1
3,28,881,3
3,24,1302,1
3,33,4559,1
3,33,1660,0
3,29,3420,1
3,21,1862,1
5,24,1552,1
3,27,227,1
5,31,487,1
3,14,1144,0
3,35,1028,0
3,37,67,0
5,20,2093,1
3,20,616,1
3,46,813,2
3,24,587,1
3,32,912,1
3,35,1023,1
5,12,821,0
3,32,92,1
3,33,1038,0
3,19,554,1
5,35,681,0
3,33,1207,0
3,33,1353,0
3,20,1395,3
3,26,1134,1
5,20,2090,1
3,27,944,1
3,13,678,0
3,25,824,0
3,21,1389,2
3,36,833,3
3,25,849,0
3,26,1657,0
3,20,2540,0
3,28,732,1
3,33,3891,1
3,26,2534,1
5,22,216,0
5,25,2242,1
3,37,1526,1
3,28,2580,1
3,35,285,0
3,13,462,1
5,24,1456,1
3,25,1866,1
5,19,1089,0
5,38,2522,1
3,32,570,1
3,30,607,1
3,12,922,0
3,21,1756,1
3,36,1257,3
3,20,1484,0
5,38,1346,0
3,35,433,0
5,21,392,1
3,22,1080,1
3,21,2503,1
3,20,2054,1
5,25,136,0
3,31,1137,1
3,22,833,0
3,36,645,3
3,33,354,0
3,33,1531,0
3,37,1388,1
5,21,581,0
3,24,1253,1
5,19,241,0
5,27,322,1
5,28,1118,1
5,18,1308,1
3,19,1720,1
3,12,890,2
3,20,902,0
3,28,503,3
3,22,2492,0
3,13,365,0
3,12,910,0
3,20,697,0
3,37,340,0
3,24,517,1
3,13,357,1
5,29,569,3
5,29,1163,1
3,22,1430,0
3,12,496,0
3,24,1983,1
3,36,937,1
3,35,613,0
5,22,691,0
3,37,3005,1
3,21,1066,1
5,31,778,3
3,23,646,3
5,24,542,0
3,19,839,0
5,23,57,1
3,35,2259,0
3,19,237,1
3,32,1560,1
3,37,1729,0
5,37,907,1
3,14,6172,0
3,37,943,1
3,20,2146,0
3,24,1383,1
3,33,630,0
3,13,6481,0
3,21,1303,1
3,24,1003,1
3,33,732,1
3,13,1246,0
5,28,1165,1
3,20,696,0
3,22,1107,1
3,24,2000,1
3,33,766,3
3,32,1093,1
3,16,850,2
3,18,2593,1
3,12,812,0
3,20,310,0
3,19,252,1
3,19,452,0
3,14,925,0
3,14,776,0
3,20,1516,0
3,37,702,0
3,33,1436,0
3,14,968,0
3,19,1270,0
3,14,65,0
3,13,668,1
5,20,641,0
3,33,853,0
3,31,1748,3
5,25,939,1
3,14,243,0
3,20,1910,0
3,33,594,0
3,20,2787,0
3,27,1615,0
3,24,1548,1
3,19,543,0
3,27,1036,1
3,21,5484,1
3,33,1667,1
3,14,3340,0
3,33,1237,0
3,33,709,0
3,33,1643,0
5,33,458,0
3,15,668,0
3,33,4184,0
3,33,1425,0
3,33,253,0
3,37,1921,0
3,17,1098,2
3,19,1719,0
3,31,238,3
3,26,1025,0
5,14,541,0
3,18,465,1
3,19,214,0
3,33,9852,0
5,21,1112,1
5,14,1749,1
3,24,257,0
3,23,658,2
3,37,415,0
3,37,1581,0
3,12,549,0
3,20,797,0
5,14,4962,0
5,19,347,0
5,37,750,0
3,14,1622,0
5,32,1950,1
3,31,393,2
3,21,3040,1
3,26,2464,1
5,14,1156,0
3,20,1021,1
5,21,466,0
3,33,2240,0
